baseMean log2FoldChange lfcSE stat pvalue padj
Niben261Scf00223g0000001.1 274.023045413564 4.45371144961218 1.03162474115189 3.83250933396339 0.000126842785101599 0.00384028956869781
Niben261Chr15g0408008.1 80.6624709831077 4.26548583547692 0.796805553236419 4.72572740009464 2.29293076944603e-06 9.96331678107453e-05
Niben261Chr10g1280001.1 51.36423804752 4.20006624297747 0.909566497523452 4.06794473307002 4.74296265561378e-05 0.0016117004266839
Niben261Chr17g0377011.1 22.1305778601427 4.18337537440064 1.03244986405865 3.56760701185136 0.000360256268688455 0.00973020426615688
Niben261Chr10g0105024.1 90.5935355370854 4.16962620313172 0.485357130822771 7.5606722763319 4.00991395954387e-14 4.83147056874669e-12
Niben261Chr02g1342003.1 27.3391789582391 4.16790405994237 0.994092863828618 3.68969961801749 0.000224518997189623 0.00640473774968535
Niben261Chr12g0289005.1 89.1143860844338 4.16517991529626 0.78807553489441 4.65079773829972 3.30653498257862e-06 0.000139747300143608
Niben261Chr03g0994012.1 456.997698612759 4.09205182633192 0.400579137887808 8.96714653007708 3.04295163567783e-19 5.94278422739192e-17
Niben261Chr13g0342003.1 100.251992081463 3.84669252274199 0.459646987074583 7.2810061130651 3.31339666726471e-13 3.61226499229726e-11
Niben261Chr13g0622002.1 552.370146818315 3.81320152221745 0.799773218366602 4.14267625638189 3.43276362814687e-05 0.00120448322210121
Niben261Chr14g0319015.1 591.514930945708 3.80002858574546 0.442890105278932 7.45112285510895 9.25491275206128e-14 1.07502163025904e-11
Niben261Chr05g1361007.1 513.030289009523 3.79620071889917 0.354060208108724 9.30971807452303 1.28172107012418e-20 2.79493826481558e-18
Niben261Chr10g0670001.1 94.8138083367651 3.79538222065154 0.561019506746114 5.87391736120656 4.25615600584667e-09 2.92612783504476e-07
Niben261Chr04g1661003.1 83.5607609264815 3.68026787413957 0.738523620394685 4.30625072281365 1.66044849386128e-05 0.000623879294564537
Niben261Chr05g0834007.1 33.1830543557304 3.6076640029621 0.804246935930605 3.86406694775427 0.00011151463632202 0.00345267964584483
Niben261Chr19g0087001.1 49.1316023807708 3.59162842429948 0.78564600444957 3.9351417900553 8.31475931499568e-05 0.0026505812115893
Niben261Chr10g0565007.1 40.8764277992363 3.55926881757766 0.622520470189759 4.91432645844582 8.90881970522516e-07 4.19410712056322e-05
Niben261Chr13g0342002.1 70.8921393439621 3.55572387263183 0.473774766100643 6.44973960471061 1.12042491623932e-10 9.26148447042102e-09
Niben261Chr06g1404007.1 87.1417782324928 3.52811677741389 0.747919195757494 4.04872183330849 5.14981080943032e-05 0.00173831790513192
Niben261Chr17g1469003.1 58.2387949510827 3.35594707577064 0.693168055382063 4.12013660121209 3.78647841140061e-05 0.00131176012334136
Niben261Scf00223g0000002.1 55.4920526419236 3.33409650414747 0.794294808528894 3.56806625665409 0.000359625576257721 0.00972055626045966
Niben261Chr06g0023003.1 147.3750102118 3.32501142567959 0.382843947665644 7.37901550463274 1.59464262646613e-13 1.81666594599719e-11
Niben261Chr04g1660009.1 325.445800553378 3.31431742985964 0.403425596333629 6.97605074005327 3.03593119853567e-12 2.98091542875005e-10
Niben261Chr08g0689005.1 70.4383010333864 3.26398238550922 0.71402001539596 3.87101527395763 0.000108382999924329 0.00336451122210512
Niben261Chr06g0759002.1 462.957074317456 3.26246765224106 0.705277165797629 3.91685394935034 8.97120615500508e-05 0.00283442268065334
Niben261Chr11g0762001.1 279.224726269783 3.24873215034218 0.724108592985932 3.79602200135137 0.000147036455045589 0.00436249061614391
Niben261Chr06g1391006.1 1973.70564631584 3.23136880261834 0.189205689395354 14.4359760604821 3.07264852885703e-47 1.98571307835808e-44
Niben261Chr16g0828002.1 6003.50437087258 3.23018459748069 0.759528385650707 3.59457875315835 0.00032491685487795 0.00887689830113902
Niben261Chr04g1152005.1 143.81437497565 3.1608461552302 0.478315708512891 5.56294954958287 2.65252594171554e-08 1.61164755679209e-06
Niben261Chr01g1124005.1 582.248379573164 3.12604801534338 0.345620360288816 7.59807093872866 3.00577560396759e-14 3.65881123518575e-12
Niben261Chr16g0273005.1 682.106802532734 3.0171517959309 0.255862278615954 9.83791674781851 7.72947406959269e-23 1.99084366905509e-20
Niben261Chr16g0052004.1 40.9069879724744 2.98389776906502 0.675350019388475 3.67794136041363 0.000235123995300919 0.00665916118643494
Niben261Chr09g0783008.1 1667.16656952245 2.98286765814638 0.284884935468934 8.71533503187684 2.89900057852356e-18 5.12647147079807e-16
Niben261Chr08g1269002.1 3650.42317199056 2.95473041711611 0.348251195293332 7.0487350805745 1.80551519931037e-12 1.81799524771353e-10
Niben261Chr16g0355007.1 7134.55102825265 2.95156215405453 0.145590469322972 16.8387543872537 1.26879240296309e-63 1.50326523903067e-60
Niben261Chr08g1046002.1 174.665106704161 2.93818719167318 0.61307076601841 3.97700775639327 6.97878895203551e-05 0.00227271581255256
Niben261Chr18g0652005.1 135.869760739207 2.93334088911087 0.566880171306273 4.29251367798538 1.76661663965112e-05 0.000656826588282001
Niben261Chr13g0012011.1 211.226370944312 2.90808662732975 0.410494709800292 5.86630368148056 4.45617315776748e-09 3.0401193612224e-07
Niben261Chr12g1302003.1 313.126979862065 2.89642386635334 0.330370083558371 7.25375566861801 4.05371095970722e-13 4.37948639367274e-11
Niben261Chr06g0715005.1 1029.87828060964 2.88224275272083 0.192598775003642 12.3689403147854 3.84865332531419e-35 1.73160169360718e-32
Niben261Chr09g1213001.1 260.485662135435 2.87222865649346 0.316057029954893 7.50569812300019 6.11020801733934e-14 7.31249945347843e-12
Niben261Chr07g1416003.1 1305.77501276954 2.82315403096351 0.304199132285364 7.63695153733772 2.22425172743417e-14 2.75466213937004e-12
Niben261Scf11042g0000001.1 307.471643043297 2.80019877257132 0.402744768334376 5.71130639904824 1.12112187674027e-08 7.20599565765934e-07
Niben261Chr08g0382002.1 1368.439966213 2.77637941186122 0.227614964716063 10.0010094446157 1.50851420828476e-23 4.06201734994497e-21
Niben261Chr18g0424008.1 452.328669037552 2.77601402424968 0.316885509034419 7.18244905292424 6.84735815077741e-13 7.24352672950096e-11
Niben261Chr06g0267017.1 1497.68569116561 2.7610869272496 0.528754644711179 4.27624976889739 1.90067972834489e-05 0.000701534374499385
Niben261Chr17g1179002.1 78.8870721370544 2.74742911465351 0.561517963486158 4.00241712785188 6.26986323201065e-05 0.00206157279110626
Niben261Chr09g1302003.1 132.965861496856 2.7163263581684 0.431652554150686 5.13451463881458 2.82873077076481e-07 1.44668210814481e-05
Niben261Chr10g0372005.1 109.515951092419 2.64230136715494 0.445348223612226 4.81039612054293 1.50631473215066e-06 6.81176219332862e-05
Niben261Chr13g0829007.1 169.903843387695 2.62329356148837 0.562067930932214 3.77764580513747 0.000158317820070463 0.00466604361242499
Niben261Chr15g0122001.1 696.398994959136 2.52259441830873 0.227523397146556 8.88961066718736 6.13234007922841e-19 1.15940370093667e-16
Niben261Chr15g1488002.1 148.315272582707 2.51862054339396 0.265935561343925 7.59063787179386 3.18334465441158e-14 3.86173387018448e-12
Niben261Chr18g1324010.1 103.241910318274 2.50584184621111 0.412398368244325 4.86384525416636 1.15126934261539e-06 5.26650161054328e-05
Niben261Chr05g0796001.1 14063.7504511794 2.49554490178366 0.52311072139646 3.81476582329739 0.000136312135161941 0.00408522641837777
Niben261Chr08g0283023.1 2643.44776819864 2.47948421912554 0.279063111924678 7.09332095336136 1.30931320179316e-12 1.34115932116819e-10
Niben261Chr03g1866001.1 154.81326320234 2.47200259032469 0.423683512342199 4.65442372166692 3.24888080325128e-06 0.000137474070560433
Niben261Chr07g0989002.1 169.541189804851 2.46446343598441 0.422419829059409 4.65050004958014 3.3113116581174e-06 0.000139782970993023
Niben261Chr12g0601018.1 952.370702677237 2.43771827228325 0.175422560780215 11.0460037960054 2.29191645003404e-28 8.14638783000099e-26
Niben261Chr03g1777004.1 198.897046004357 2.43020154455728 0.477925383194413 4.03870899606959 5.37461933822217e-05 0.00180562825858005
Niben261Chr07g0609009.1 1600.47697636891 2.41977877265609 0.487420624346835 3.93864903691484 8.19416885767962e-05 0.00262390574664292
Niben261Chr19g0704006.1 1747.59398489016 2.39868098637161 0.173221214499458 10.9610187866311 5.8833288105233e-28 2.03026251690524e-25
